Time,PV [kWh],WT [kWh],Load [kWh],Battery [kWh],Diesel [kWh],Electric Grid[$]
22:25,0,0.3765550239,0.0261191667,0,0,0.5
22:30,0,0.3674641148,0.0326908333,0,0,0.5
22:35,0,0.3674641148,0.0322941667,0,0,0.5
22:40,0,1,0.0328325,0,0,0.5
22:45,0,1,0.0263325,0,0,0.5
22:50,0,1,0.04822,0,0,0.5
22:55,0,1,0.0519041667,0,0,0.5
23:00,0,1,0.0489275,0,0,0.5
23:05,0,1,0.0243475,0,0,0.5
23:10,0,1,0.0323308333,0,0,0.5
23:15,0,1,0.0340816667,0,0,0.5
23:20,0,1,0.0334291667,0,0,0.5
23:25,0,1,0.0319891667,0,0,0.5
23:30,0,1,0.0228091667,0,0,0.5
23:35,0,1,0.0227866667,0,0,0.5
23:40,0,1,0.0305358333,0,0,0.5
23:45,0,1,0.0191633333,0,0,0.5
23:50,0,0.3019138756,0.0150475,0,0,0.5
23:55,0,0.3019138756,0.0176883333,0,0,0.5
